targeting_method	pulse_intensity_rmt	second_pulse_intensity_rmt	inter_stimulus_interval	tms_pos_centre	waveform	current_direction	rmt_intensity	trial_number	tms_stim_mode
manual	80	120	2	Left_M1	monophasic	normal	37	1	single
manual	80	120	2	Left_M1	monophasic	normal	37	2	dual
manual	80	120	2	Left_M1	monophasic	normal	37	3	single
manual	80	120	2	Left_M1	monophasic	normal	37	4	single
manual	80	120	2	Left_M1	monophasic	normal	37	5	single
manual	80	120	2	Left_M1	monophasic	normal	37	6	dual
manual	80	120	2	Left_M1	monophasic	normal	37	7	dual
manual	80	120	2	Left_M1	monophasic	normal	37	8	dual
manual	80	120	2	Left_M1	monophasic	normal	37	9	dual
manual	80	120	2	Left_M1	monophasic	normal	37	10	single
manual	80	120	2	Left_M1	monophasic	normal	37	11	dual
manual	80	120	2	Left_M1	monophasic	normal	37	12	single
manual	80	120	2	Left_M1	monophasic	normal	37	13	dual
manual	80	120	2	Left_M1	monophasic	normal	37	14	single
manual	80	120	2	Left_M1	monophasic	normal	37	15	single
manual	80	120	2	Left_M1	monophasic	normal	37	16	single
manual	80	120	2	Left_M1	monophasic	normal	37	17	single
manual	80	120	2	Left_M1	monophasic	normal	37	18	dual
manual	80	120	2	Left_M1	monophasic	normal	37	19	dual
manual	80	120	2	Left_M1	monophasic	normal	37	20	dual
manual	80	120	2	Left_M1	monophasic	normal	37	21	dual
manual	80	120	2	Left_M1	monophasic	normal	37	22	dual
manual	80	120	2	Left_M1	monophasic	normal	37	23	single
manual	80	120	2	Left_M1	monophasic	normal	37	24	single
manual	80	120	2	Left_M1	monophasic	normal	37	25	dual
manual	80	120	2	Left_M1	monophasic	normal	37	26	single
manual	80	120	2	Left_M1	monophasic	normal	37	27	dual
manual	80	120	2	Left_M1	monophasic	normal	37	28	single
manual	80	120	2	Left_M1	monophasic	normal	37	29	dual
manual	80	120	2	Left_M1	monophasic	normal	37	30	single
manual	80	120	2	Left_M1	monophasic	normal	37	31	dual
manual	80	120	2	Left_M1	monophasic	normal	37	32	single
manual	80	120	2	Left_M1	monophasic	normal	37	33	single
manual	80	120	2	Left_M1	monophasic	normal	37	34	single
manual	80	120	2	Left_M1	monophasic	normal	37	35	single
manual	80	120	2	Left_M1	monophasic	normal	37	36	dual
manual	80	120	2	Left_M1	monophasic	normal	37	37	dual
manual	80	120	2	Left_M1	monophasic	normal	37	38	dual
manual	80	120	2	Left_M1	monophasic	normal	37	39	dual
manual	80	120	2	Left_M1	monophasic	normal	37	40	single
