targeting_method	pulse_intensity_rmt	second_pulse_intensity_rmt	inter_stimulus_interval	tms_pos_centre	waveform	current_direction	rmt_intensity	trial_number	tms_stim_mode
manual	80	120	2	Left_M1	monophasic	normal	67	1	single
manual	80	120	2	Left_M1	monophasic	normal	67	2	single
manual	80	120	2	Left_M1	monophasic	normal	67	3	dual
manual	80	120	2	Left_M1	monophasic	normal	67	4	single
manual	80	120	2	Left_M1	monophasic	normal	67	5	single
manual	80	120	2	Left_M1	monophasic	normal	67	6	single
manual	80	120	2	Left_M1	monophasic	normal	67	7	single
manual	80	120	2	Left_M1	monophasic	normal	67	8	single
manual	80	120	2	Left_M1	monophasic	normal	67	9	single
manual	80	120	2	Left_M1	monophasic	normal	67	10	dual
manual	80	120	2	Left_M1	monophasic	normal	67	11	single
manual	80	120	2	Left_M1	monophasic	normal	67	12	single
manual	80	120	2	Left_M1	monophasic	normal	67	13	dual
manual	80	120	2	Left_M1	monophasic	normal	67	14	dual
manual	80	120	2	Left_M1	monophasic	normal	67	15	single
manual	80	120	2	Left_M1	monophasic	normal	67	16	dual
manual	80	120	2	Left_M1	monophasic	normal	67	17	dual
manual	80	120	2	Left_M1	monophasic	normal	67	18	dual
manual	80	120	2	Left_M1	monophasic	normal	67	19	dual
manual	80	120	2	Left_M1	monophasic	normal	67	20	dual
manual	80	120	2	Left_M1	monophasic	normal	67	21	dual
manual	80	120	2	Left_M1	monophasic	normal	67	22	single
manual	80	120	2	Left_M1	monophasic	normal	67	23	dual
manual	80	120	2	Left_M1	monophasic	normal	67	24	dual
manual	80	120	2	Left_M1	monophasic	normal	67	25	single
manual	80	120	2	Left_M1	monophasic	normal	67	26	single
manual	80	120	2	Left_M1	monophasic	normal	67	27	dual
manual	80	120	2	Left_M1	monophasic	normal	67	28	single
manual	80	120	2	Left_M1	monophasic	normal	67	29	single
manual	80	120	2	Left_M1	monophasic	normal	67	30	single
manual	80	120	2	Left_M1	monophasic	normal	67	31	dual
manual	80	120	2	Left_M1	monophasic	normal	67	32	single
manual	80	120	2	Left_M1	monophasic	normal	67	33	dual
manual	80	120	2	Left_M1	monophasic	normal	67	34	dual
manual	80	120	2	Left_M1	monophasic	normal	67	35	single
manual	80	120	2	Left_M1	monophasic	normal	67	36	dual
manual	80	120	2	Left_M1	monophasic	normal	67	37	dual
manual	80	120	2	Left_M1	monophasic	normal	67	38	dual
manual	80	120	2	Left_M1	monophasic	normal	67	39	single
manual	80	120	2	Left_M1	monophasic	normal	67	40	dual
