trial_number	onset	duration
1	4.890	0
2	9.142	0
3	13.670	0
4	18.397	0
5	22.787	0
6	27.292	0
7	31.797	0
8	36.302	0
9	40.807	0
10	45.312	0
11	49.816	0
12	54.321	0
13	58.826	0
14	63.331	0
15	67.836	0
16	72.341	0
17	76.846	0
18	81.351	0
19	85.856	0
20	90.361	0
21	94.865	0
22	99.370	0
23	103.875	0
24	108.380	0
25	112.885	0
26	117.390	0
27	121.895	0
28	126.400	0
29	130.905	0
30	135.410	0
31	139.914	0
32	144.419	0
33	148.924	0
34	153.429	0
35	157.934	0
36	162.439	0
37	166.944	0
38	171.449	0
39	175.954	0
40	180.459	0
