targeting_method	pulse_intensity_rmt	second_pulse_intensity_rmt	inter_stimulus_interval	tms_pos_centre	waveform	current_direction	rmt_intensity	trial_number	tms_stim_mode	mep_ampl_fdi	pre_rms_fdi	mep_ampl_apb	pre_rms_apb
manual	80	120	2	Left_M1	monophasic	normal	56	1	dual	0.748	0.027	0.387	0.034
manual	80	120	2	Left_M1	monophasic	normal	56	2	single	0.580	0.019	1.209	0.025
manual	80	120	2	Left_M1	monophasic	normal	56	3	dual	0.832	0.025	0.694	0.011
manual	80	120	2	Left_M1	monophasic	normal	56	4	single	0.778	0.019	0.468	0.015
manual	80	120	2	Left_M1	monophasic	normal	56	5	single	0.605	0.034	0.313	0.035
manual	80	120	2	Left_M1	monophasic	normal	56	6	dual	0.748	0.022	0.288	0.038
manual	80	120	2	Left_M1	monophasic	normal	56	7	single	1.502	0.024	1.494	0.033
manual	80	120	2	Left_M1	monophasic	normal	56	8	single	0.296	0.013	0.633	0.017
manual	80	120	2	Left_M1	monophasic	normal	56	9	dual	0.882	0.024	0.618	0.021
manual	80	120	2	Left_M1	monophasic	normal	56	10	dual	0.233	0.018	0.302	0.036
manual	80	120	2	Left_M1	monophasic	normal	56	11	single	0.693	0.026	0.818	0.024
manual	80	120	2	Left_M1	monophasic	normal	56	12	dual	0.564	0.026	0.454	0.023
manual	80	120	2	Left_M1	monophasic	normal	56	13	dual	0.558	0.037	0.018	0.026
manual	80	120	2	Left_M1	monophasic	normal	56	14	single	0.847	0.031	0.964	0.033
manual	80	120	2	Left_M1	monophasic	normal	56	15	single	1.129	0.011	0.989	0.018
manual	80	120	2	Left_M1	monophasic	normal	56	16	single	0.599	0.018	0.430	0.018
manual	80	120	2	Left_M1	monophasic	normal	56	17	dual	0.572	0.038	0.380	0.03
manual	80	120	2	Left_M1	monophasic	normal	56	18	dual	0.261	0.035	0.339	0.028
manual	80	120	2	Left_M1	monophasic	normal	56	19	dual	0.145	0.026	0.543	0.022
manual	80	120	2	Left_M1	monophasic	normal	56	20	dual	0.641	0.024	0.144	0.011
manual	80	120	2	Left_M1	monophasic	normal	56	21	dual	0.861	0.014	0.266	0.015
manual	80	120	2	Left_M1	monophasic	normal	56	22	single	0.946	0.024	1.024	0.025
manual	80	120	2	Left_M1	monophasic	normal	56	23	single	1.046	0.025	1.450	0.026
manual	80	120	2	Left_M1	monophasic	normal	56	24	dual	0.612	0.03	0.500	0.017
manual	80	120	2	Left_M1	monophasic	normal	56	25	single	0.465	0.03	1.645	0.012
manual	80	120	2	Left_M1	monophasic	normal	56	26	single	1.117	0.012	0.992	0.038
manual	80	120	2	Left_M1	monophasic	normal	56	27	single	1.850	0.035	1.308	0.036
manual	80	120	2	Left_M1	monophasic	normal	56	28	single	0.705	0.034	0.362	0.031
manual	80	120	2	Left_M1	monophasic	normal	56	29	dual	1.092	0.022	0.456	0.013
manual	80	120	2	Left_M1	monophasic	normal	56	30	dual	0.482	0.02	0.210	0.024
manual	80	120	2	Left_M1	monophasic	normal	56	31	dual	0.654	0.012	0.618	0.03
manual	80	120	2	Left_M1	monophasic	normal	56	32	dual	0.991	0.022	0.660	0.025
manual	80	120	2	Left_M1	monophasic	normal	56	33	single	1.051	0.019	1.708	0.023
manual	80	120	2	Left_M1	monophasic	normal	56	34	dual	0.443	0.028	0.803	0.013
manual	80	120	2	Left_M1	monophasic	normal	56	35	dual	1.196	0.024	0.862	0.025
manual	80	120	2	Left_M1	monophasic	normal	56	36	single	0.838	0.023	0.526	0.022
manual	80	120	2	Left_M1	monophasic	normal	56	37	dual	0.277	0.019	0.037	0.013
manual	80	120	2	Left_M1	monophasic	normal	56	38	single	1.093	0.029	0.651	0.035
manual	80	120	2	Left_M1	monophasic	normal	56	39	single	1.085	0.02	0.323	0.012
manual	80	120	2	Left_M1	monophasic	normal	56	40	single	0.467	0.017	1.345	0.016
